target_fs_hz,bits,records,reference_beats,tp,fp,fn,pooled_sensitivity_pct,pooled_ppv_pct,pooled_f1_pct,macro_f1_mean_pct,macro_f1_median_pct,macro_f1_q05_pct,median_timing_error_ms,p95_timing_error_ms_median,clipping_rate_pct_mean,quantization_rmse_uv_mean,quantization_snr_db_median,raw_bitrate_bps,storage_mib_per_day,reference_f1_pct,f1_drop_from_reference_pp,bitrate_reduction_pct
100,6,48.00000000,91264.00000000,90334.00000000,6176.00000000,930.00000000,98.98097826,93.60066314,96.21566351,96.29077192,99.83992102,75.04218383,47.22222222,66.66666667,0.00000000,45.48066058,16.44282027,600.00000000,6.17980957,99.39053131,3.17486780,84.84848485
100,7,48.00000000,91264.00000000,90372.00000000,5490.00000000,892.00000000,99.02261571,94.27301746,96.58946378,96.62949170,99.83898193,79.88836448,53.88888889,66.66666667,0.00000000,22.54159229,22.31118742,700.00000000,7.20977783,99.39053131,2.80106753,82.32323232
100,8,48.00000000,91264.00000000,90453.00000000,5457.00000000,811.00000000,99.11136921,94.31029090,96.65124430,96.69145872,99.83444149,80.99665637,55.27777778,66.66666667,0.00000000,11.28180413,28.34661695,800.00000000,8.23974609,99.39053131,2.73928702,79.79797980
100,9,48.00000000,91264.00000000,90477.00000000,5504.00000000,787.00000000,99.13766655,94.26553172,96.64023071,96.69342593,99.83898193,80.43470439,56.38888889,66.38888889,0.00000000,5.63745638,34.33552689,900.00000000,9.26971436,99.39053131,2.75030060,77.27272727
100,10,48.00000000,91264.00000000,90475.00000000,5560.00000000,789.00000000,99.13547511,94.21044411,96.61023284,96.66863831,99.83962372,79.71755500,56.38888889,66.38888889,0.00000000,2.81930059,40.35606521,1000.00000000,10.29968262,99.39053131,2.78029848,74.74747475
100,11,48.00000000,91264.00000000,90480.00000000,5452.00000000,784.00000000,99.14095372,94.31680774,96.66873224,96.71708459,99.83898193,80.86201879,56.38888889,66.38888889,0.00000000,1.40980236,46.37697450,1100.00000000,11.32965088,99.39053131,2.72179907,72.22222222
125,6,48.00000000,91264.00000000,90658.00000000,1702.00000000,606.00000000,99.33599229,98.15721091,98.74308369,98.71397814,99.88821515,93.84263512,2.55555556,9.01944444,0.00000000,45.48335360,16.44035438,750.00000000,7.72476196,99.39053131,0.64744762,81.06060606
125,7,48.00000000,91264.00000000,90675.00000000,1381.00000000,589.00000000,99.35461957,98.49982619,98.92537639,98.86632708,99.90570876,94.52322520,2.50000000,7.83333333,0.00000000,22.54044333,22.30752562,875.00000000,9.01222229,99.39053131,0.46515492,77.90404040
125,8,48.00000000,91264.00000000,90717.00000000,1347.00000000,547.00000000,99.40063990,98.53688738,98.96687904,98.91201705,99.90570876,94.94495588,2.50000000,7.83333333,0.00000000,11.28231586,28.34890001,1000.00000000,10.29968262,99.39053131,0.42365228,74.74747475
125,9,48.00000000,91264.00000000,90690.00000000,1381.00000000,574.00000000,99.37105540,98.50007060,98.93364606,98.87724235,99.90831533,94.79476360,2.55555556,7.84722222,0.00000000,5.63821030,34.33338829,1125.00000000,11.58714294,99.39053131,0.45688525,71.59090909
125,10,48.00000000,91264.00000000,90717.00000000,1368.00000000,547.00000000,99.40063990,98.51441603,98.95554380,98.90208076,99.90831533,94.92523121,2.55555556,7.88888889,0.00000000,2.81877090,40.35972244,1250.00000000,12.87460327,99.39053131,0.43498751,68.43434343
125,11,48.00000000,91264.00000000,90718.00000000,1379.00000000,546.00000000,99.40173562,98.50266567,98.95015843,98.89658802,99.90837741,94.86351606,2.55555556,7.88888889,0.00000000,1.40977150,46.36982960,1375.00000000,14.16206360,99.39053131,0.44037288,65.27777778
180,6,48.00000000,91264.00000000,90745.00000000,1155.00000000,519.00000000,99.43132013,98.74319913,99.08606495,99.04139198,99.91007223,94.96457685,2.77777778,5.55555556,0.00000000,45.48177615,16.43858372,1080.00000000,11.12365723,99.39053131,0.30446636,72.72727273
