target_fs_hz,bits,macro_f1_drop_mean_pp,macro_f1_drop_ci_low_pp,macro_f1_drop_ci_high_pp
100,6,3.06275390,1.04082802,5.53151797
100,7,2.72403412,0.72749732,5.14687856
100,8,2.66206710,0.80265471,5.16230418
100,9,2.66009989,0.74414640,5.04597912
100,10,2.68488751,0.81102535,5.16899311
100,11,2.63644123,0.77783683,4.89133470
125,6,0.63954768,-0.03192153,1.80999969
125,7,0.48719874,-0.11111806,1.39453755
125,8,0.44150878,-0.13252427,1.35967504
125,9,0.47628347,-0.13458710,1.35402710
125,10,0.45144506,-0.11382648,1.39628850
125,11,0.45693780,-0.13589709,1.35669827
180,6,0.31213385,-0.18039007,1.16348907
180,7,0.00990470,-0.25565503,0.36781646
180,8,0.14867364,-0.26344388,0.83123428
180,9,0.20280851,-0.21523773,0.89856550
180,10,0.13827772,-0.22887386,0.76197318
180,11,0.16556185,-0.25426284,0.85414766
250,6,0.14412341,-0.15918258,0.66051618
250,7,-0.09047932,-0.24455355,0.06196610
250,8,-0.10428297,-0.23931087,0.02190416
250,9,-0.09536976,-0.24786489,0.04357926
250,10,-0.10279435,-0.25639074,0.02633211
250,11,-0.10334298,-0.25483638,0.03280551
360,6,0.09076383,0.01047469,0.20572766
360,7,0.01491354,-0.00249232,0.04086867
360,8,0.00644571,-0.00332782,0.01979692
360,9,-0.00131204,-0.00720921,0.00490820
360,10,-0.00455861,-0.00982104,0.00035200
360,11,0.00000000,0.00000000,0.00000000
