target_fs_hz,bits,records,interaction_mean_pp,interaction_ci_low_pp,interaction_ci_high_pp
100,6,48,-0.33554885,-0.77828599,0.00330349
100,7,48,-0.07267934,-0.16759624,0.01228799
100,8,48,-0.01918016,-0.06309387,0.02381926
100,9,48,-0.02497070,-0.06214224,0.01115186
100,10,48,-0.05300489,-0.14279467,0.01388172
125,6,48,-0.09184606,-0.27577633,0.09433558
125,7,48,-0.01534740,-0.05426178,0.01703519
125,8,48,0.02187473,-0.00261061,0.05384552
125,9,48,-0.02065771,-0.05719162,0.00290141
125,10,48,0.00093412,-0.01063070,0.01492099
180,6,48,-0.05580817,-0.19339889,0.04849843
180,7,48,0.17057070,-0.00176422,0.51166604
180,8,48,0.02333393,-0.00169683,0.06363819
180,9,48,-0.03855869,-0.10257967,-0.00327173
180,10,48,0.02272552,-0.01224951,0.10858895
250,6,48,-0.15670256,-0.55287025,0.07066579
250,7,48,0.00204988,-0.02226374,0.03297335
250,8,48,0.00738570,-0.01203594,0.02788616
250,9,48,-0.00928526,-0.02610317,0.00494136
250,10,48,-0.00510724,-0.01030244,-0.00045243
