dataset,record,base_record,snr_db,eval_scope,target_fs_hz,bits,lsb_uv,raw_bitrate_bps,storage_mib_per_day,tolerance_ms,reference_beats,detected_beats,tp,fp,fn,sensitivity_pct,ppv_pct,f1_pct,median_abs_timing_error_ms,p95_abs_timing_error_ms,clipping_rate_pct,quantization_rmse_uv,quantization_snr_db,evaluated_duration_s
mitdb,100,100,,clean_after_5min,100,6,156.25000000,600,6.17980957,75,1900,1901,1900,1,0,100.00000000,99.94739611,99.97369113,4.44444444,60.55555556,0.00000000,46.96593255,11.96120529,1505.15555556
mitdb,100,100,,clean_after_5min,100,7,78.12500000,700,7.20977783,75,1900,1901,1900,1,0,100.00000000,99.94739611,99.97369113,6.66666667,61.11111111,0.00000000,21.35879807,18.80532809,1505.15555556
mitdb,100,100,,clean_after_5min,100,8,39.06250000,800,8.23974609,75,1900,1901,1900,1,0,100.00000000,99.94739611,99.97369113,7.22222222,61.11111111,0.00000000,11.24739261,24.37582718,1505.15555556
mitdb,100,100,,clean_after_5min,100,9,19.53125000,900,9.26971436,75,1900,1901,1900,1,0,100.00000000,99.94739611,99.97369113,6.66666667,61.11111111,0.00000000,5.62196443,30.39910241,1505.15555556
mitdb,100,100,,clean_after_5min,100,10,9.76562500,1000,10.29968262,75,1900,1901,1900,1,0,100.00000000,99.94739611,99.97369113,30.55555556,61.11111111,0.00000000,2.82251509,36.38413884,1505.15555556
mitdb,100,100,,clean_after_5min,100,11,4.88281250,1100,11.32965088,75,1900,1901,1900,1,0,100.00000000,99.94739611,99.97369113,6.66666667,61.11111111,0.00000000,1.41146362,42.40347052,1505.15555556
mitdb,100,100,,clean_after_5min,125,6,156.25000000,750,7.72476196,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.11111111,4.88888889,0.00000000,46.96057146,11.96244754,1505.15555556
mitdb,100,100,,clean_after_5min,125,7,78.12500000,875,9.01222229,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.11111111,4.44444444,0.00000000,21.36031223,18.80496307,1505.15555556
mitdb,100,100,,clean_after_5min,125,8,39.06250000,1000,10.29968262,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.11111111,4.55555556,0.00000000,11.25890384,24.36719281,1505.15555556
mitdb,100,100,,clean_after_5min,125,9,19.53125000,1125,11.58714294,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.11111111,4.44444444,0.00000000,5.62460835,30.39526926,1505.15555556
mitdb,100,100,,clean_after_5min,125,10,9.76562500,1250,12.87460327,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.11111111,4.44444444,0.00000000,2.81936037,36.39410319,1505.15555556
mitdb,100,100,,clean_after_5min,125,11,4.88281250,1375,14.16206360,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.11111111,4.44444444,0.00000000,1.40925253,42.41733855,1505.15555556
mitdb,100,100,,clean_after_5min,180,6,156.25000000,1080,11.12365723,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.77777778,2.77777778,0.00000000,46.94757363,11.96335026,1505.15555556
mitdb,100,100,,clean_after_5min,180,7,78.12500000,1260,12.97760010,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.77777778,2.77777778,0.00000000,21.34165646,18.81105080,1505.15555556
mitdb,100,100,,clean_after_5min,180,8,39.06250000,1440,14.83154297,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.77777778,2.77777778,0.00000000,11.25678157,24.36732851,1505.15555556
mitdb,100,100,,clean_after_5min,180,9,19.53125000,1620,16.68548584,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.77777778,2.77777778,0.00000000,5.62730498,30.38960423,1505.15555556
mitdb,100,100,,clean_after_5min,180,10,9.76562500,1800,18.53942871,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.77777778,2.77777778,0.00000000,2.82113223,36.38714446,1505.15555556
mitdb,100,100,,clean_after_5min,180,11,4.88281250,1980,20.39337158,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.77777778,2.77777778,0.00000000,1.40966539,42.41329252,1505.15555556
mitdb,100,100,,clean_after_5min,250,6,156.25000000,1500,15.44952393,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,1.00000000,2.77777778,0.00000000,46.96549786,11.96164066,1505.15555556
mitdb,100,100,,clean_after_5min,250,7,78.12500000,1750,18.02444458,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,1.00000000,2.66666667,0.00000000,21.34617914,18.81081627,1505.15555556
mitdb,100,100,,clean_after_5min,250,8,39.06250000,2000,20.59936523,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,1.00000000,2.66666667,0.00000000,11.25977021,24.36662872,1505.15555556
mitdb,100,100,,clean_after_5min,250,9,19.53125000,2250,23.17428589,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,1.00000000,2.55555556,0.00000000,5.62476702,30.39512851,1505.15555556
mitdb,100,100,,clean_after_5min,250,10,9.76562500,2500,25.74920654,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,1.00000000,2.66666667,0.00000000,2.82019788,36.39162764,1505.15555556
mitdb,100,100,,clean_after_5min,250,11,4.88281250,2750,28.32412720,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,1.00000000,2.66666667,0.00000000,1.40902687,42.41883378,1505.15555556
mitdb,100,100,,clean_after_5min,360,6,156.25000000,2160,22.24731445,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,0.00000000,2.77777778,0.00000000,46.94788777,11.95872023,1505.15555556
mitdb,100,100,,clean_after_5min,360,7,78.12500000,2520,25.95520020,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,0.00000000,2.77777778,0.00000000,21.34305586,18.80590936,1505.15555556
mitdb,100,100,,clean_after_5min,360,8,39.06250000,2880,29.66308594,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,0.00000000,2.77777778,0.00000000,11.26090220,24.35957766,1505.15555556
mitdb,100,100,,clean_after_5min,360,9,19.53125000,3240,33.37097168,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,0.00000000,2.77777778,0.00000000,5.62732644,30.38499920,1505.15555556
mitdb,100,100,,clean_after_5min,360,10,9.76562500,3600,37.07885742,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,0.00000000,2.77777778,0.00000000,2.81912047,36.38876868,1505.15555556
mitdb,100,100,,clean_after_5min,360,11,4.88281250,3960,40.78674316,75,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,0.00000000,2.77777778,0.00000000,1.40990877,42.40722115,1505.15555556
mitdb,100,100,,clean_after_5min,100,6,156.25000000,600,6.17980957,150,1900,1901,1900,1,0,100.00000000,99.94739611,99.97369113,4.44444444,60.55555556,0.00000000,46.96593255,11.96120529,1505.15555556
mitdb,100,100,,clean_after_5min,100,7,78.12500000,700,7.20977783,150,1900,1901,1900,1,0,100.00000000,99.94739611,99.97369113,6.66666667,61.11111111,0.00000000,21.35879807,18.80532809,1505.15555556
mitdb,100,100,,clean_after_5min,100,8,39.06250000,800,8.23974609,150,1900,1901,1900,1,0,100.00000000,99.94739611,99.97369113,7.22222222,61.11111111,0.00000000,11.24739261,24.37582718,1505.15555556
mitdb,100,100,,clean_after_5min,100,9,19.53125000,900,9.26971436,150,1900,1901,1900,1,0,100.00000000,99.94739611,99.97369113,6.66666667,61.11111111,0.00000000,5.62196443,30.39910241,1505.15555556
mitdb,100,100,,clean_after_5min,100,10,9.76562500,1000,10.29968262,150,1900,1901,1900,1,0,100.00000000,99.94739611,99.97369113,30.55555556,61.11111111,0.00000000,2.82251509,36.38413884,1505.15555556
mitdb,100,100,,clean_after_5min,100,11,4.88281250,1100,11.32965088,150,1900,1901,1900,1,0,100.00000000,99.94739611,99.97369113,6.66666667,61.11111111,0.00000000,1.41146362,42.40347052,1505.15555556
mitdb,100,100,,clean_after_5min,125,6,156.25000000,750,7.72476196,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.11111111,4.88888889,0.00000000,46.96057146,11.96244754,1505.15555556
mitdb,100,100,,clean_after_5min,125,7,78.12500000,875,9.01222229,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.11111111,4.44444444,0.00000000,21.36031223,18.80496307,1505.15555556
mitdb,100,100,,clean_after_5min,125,8,39.06250000,1000,10.29968262,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.11111111,4.55555556,0.00000000,11.25890384,24.36719281,1505.15555556
mitdb,100,100,,clean_after_5min,125,9,19.53125000,1125,11.58714294,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.11111111,4.44444444,0.00000000,5.62460835,30.39526926,1505.15555556
mitdb,100,100,,clean_after_5min,125,10,9.76562500,1250,12.87460327,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.11111111,4.44444444,0.00000000,2.81936037,36.39410319,1505.15555556
mitdb,100,100,,clean_after_5min,125,11,4.88281250,1375,14.16206360,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.11111111,4.44444444,0.00000000,1.40925253,42.41733855,1505.15555556
mitdb,100,100,,clean_after_5min,180,6,156.25000000,1080,11.12365723,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.77777778,2.77777778,0.00000000,46.94757363,11.96335026,1505.15555556
mitdb,100,100,,clean_after_5min,180,7,78.12500000,1260,12.97760010,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.77777778,2.77777778,0.00000000,21.34165646,18.81105080,1505.15555556
mitdb,100,100,,clean_after_5min,180,8,39.06250000,1440,14.83154297,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.77777778,2.77777778,0.00000000,11.25678157,24.36732851,1505.15555556
mitdb,100,100,,clean_after_5min,180,9,19.53125000,1620,16.68548584,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.77777778,2.77777778,0.00000000,5.62730498,30.38960423,1505.15555556
mitdb,100,100,,clean_after_5min,180,10,9.76562500,1800,18.53942871,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.77777778,2.77777778,0.00000000,2.82113223,36.38714446,1505.15555556
mitdb,100,100,,clean_after_5min,180,11,4.88281250,1980,20.39337158,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,2.77777778,2.77777778,0.00000000,1.40966539,42.41329252,1505.15555556
mitdb,100,100,,clean_after_5min,250,6,156.25000000,1500,15.44952393,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,1.00000000,2.77777778,0.00000000,46.96549786,11.96164066,1505.15555556
mitdb,100,100,,clean_after_5min,250,7,78.12500000,1750,18.02444458,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,1.00000000,2.66666667,0.00000000,21.34617914,18.81081627,1505.15555556
mitdb,100,100,,clean_after_5min,250,8,39.06250000,2000,20.59936523,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,1.00000000,2.66666667,0.00000000,11.25977021,24.36662872,1505.15555556
mitdb,100,100,,clean_after_5min,250,9,19.53125000,2250,23.17428589,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,1.00000000,2.55555556,0.00000000,5.62476702,30.39512851,1505.15555556
mitdb,100,100,,clean_after_5min,250,10,9.76562500,2500,25.74920654,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,1.00000000,2.66666667,0.00000000,2.82019788,36.39162764,1505.15555556
mitdb,100,100,,clean_after_5min,250,11,4.88281250,2750,28.32412720,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,1.00000000,2.66666667,0.00000000,1.40902687,42.41883378,1505.15555556
mitdb,100,100,,clean_after_5min,360,6,156.25000000,2160,22.24731445,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,0.00000000,2.77777778,0.00000000,46.94788777,11.95872023,1505.15555556
mitdb,100,100,,clean_after_5min,360,7,78.12500000,2520,25.95520020,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,0.00000000,2.77777778,0.00000000,21.34305586,18.80590936,1505.15555556
mitdb,100,100,,clean_after_5min,360,8,39.06250000,2880,29.66308594,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,0.00000000,2.77777778,0.00000000,11.26090220,24.35957766,1505.15555556
mitdb,100,100,,clean_after_5min,360,9,19.53125000,3240,33.37097168,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,0.00000000,2.77777778,0.00000000,5.62732644,30.38499920,1505.15555556
mitdb,100,100,,clean_after_5min,360,10,9.76562500,3600,37.07885742,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,0.00000000,2.77777778,0.00000000,2.81912047,36.38876868,1505.15555556
mitdb,100,100,,clean_after_5min,360,11,4.88281250,3960,40.78674316,150,1900,1900,1900,0,0,100.00000000,100.00000000,100.00000000,0.00000000,2.77777778,0.00000000,1.40990877,42.40722115,1505.15555556
mitdb,101,101,,clean_after_5min,100,6,156.25000000,600,6.17980957,75,1523,1526,1522,4,1,99.93434012,99.73787680,99.83601181,56.11111111,61.66666667,0.00000000,49.23994484,13.29151990,1505.15555556
mitdb,101,101,,clean_after_5min,100,7,78.12500000,700,7.20977783,75,1523,1526,1522,4,1,99.93434012,99.73787680,99.83601181,57.22222222,61.66666667,0.00000000,22.47465570,20.10401010,1505.15555556
mitdb,101,101,,clean_after_5min,100,8,39.06250000,800,8.23974609,75,1523,1526,1522,4,1,99.93434012,99.73787680,99.83601181,56.66666667,61.66666667,0.00000000,11.47172203,25.94529875,1505.15555556
mitdb,101,101,,clean_after_5min,100,9,19.53125000,900,9.26971436,75,1523,1526,1522,4,1,99.93434012,99.73787680,99.83601181,56.66666667,61.66666667,0.00000000,5.64345029,32.10697698,1505.15555556
mitdb,101,101,,clean_after_5min,100,10,9.76562500,1000,10.29968262,75,1523,1526,1522,4,1,99.93434012,99.73787680,99.83601181,57.22222222,61.66666667,0.00000000,2.81811761,38.13868878,1505.15555556
