dataset,record,base_record,snr_db,eval_scope,target_fs_hz,bits,lsb_uv,raw_bitrate_bps,storage_mib_per_day,tolerance_ms,reference_beats,detected_beats,tp,fp,fn,sensitivity_pct,ppv_pct,f1_pct,median_abs_timing_error_ms,p95_abs_timing_error_ms,clipping_rate_pct,quantization_rmse_uv,quantization_snr_db,evaluated_duration_s
nstdb,118e00,118,0,mixed_after_5min,100,6,156.25000000,600,6.17980957,75,1916,2565,1590,975,326,82.98538622,61.98830409,70.96630216,8.33333333,56.97222222,1.40051556,212.69857551,15.81125122,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,100,7,78.12500000,700,7.20977783,75,1916,2548,1578,970,338,82.35908142,61.93092622,70.69892473,8.33333333,57.22222222,1.34271440,201.85206261,16.26587901,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,100,8,39.06250000,800,8.23974609,75,1916,2567,1588,979,328,82.88100209,61.86209583,70.84541602,8.33333333,55.91666667,1.30484467,197.41456551,16.45895900,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,100,9,19.53125000,900,9.26971436,75,1916,2567,1584,983,332,82.67223382,61.70627191,70.66696409,8.33333333,56.66666667,1.29222142,195.43525170,16.54648479,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,100,10,9.76562500,1000,10.29968262,75,1916,2563,1581,982,335,82.51565762,61.68552478,70.59611520,8.33333333,56.66666667,1.28491323,194.50814249,16.58778711,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,100,11,4.88281250,1100,11.32965088,75,1916,2563,1581,982,335,82.51565762,61.68552478,70.59611520,8.33333333,56.66666667,1.27959818,194.06046516,16.60780148,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,125,6,156.25000000,750,7.72476196,75,1916,2531,1629,902,287,85.02087683,64.36191229,73.26287385,5.00000000,51.06666667,1.39466901,212.68332955,15.81135620,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,125,7,78.12500000,875,9.01222229,75,1916,2525,1632,893,284,85.17745303,64.63366337,73.49696014,4.88888889,52.27222222,1.33301443,201.82535176,16.26651085,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,125,8,39.06250000,1000,10.29968262,75,1916,2524,1642,882,274,85.69937370,65.05546751,73.96396396,5.00000000,52.32777778,1.30378166,197.38276972,16.45984043,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,125,9,19.53125000,1125,11.58714294,75,1916,2531,1640,891,276,85.59498956,64.79652311,73.75758939,4.88888889,51.67222222,1.29102554,195.40228288,16.54743255,1505.15555556
